CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP-1	ACH-000146	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male	1		acute_monocytic_leukemia	AML
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW	ACH-000697	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	female				lymphoma_DLBCL
SKNSH_AUTONOMIC_GANGLIA	SK-N-SH	ACH-000149	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	female	4		neuroblastoma	neuroblastoma
HCC1954_BREAST	HCC1954	ACH-000859	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	61	east_indian	breast_cancer	breast
CAMA1_BREAST	CAMA-1	ACH-000783	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	51	caucasian	breast_cancer	breast
HEC6_ENDOMETRIUM	HEC-6	ACH-000984	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		endometrium
AM38_CENTRAL_NERVOUS_SYSTEM	AM-38	ACH-000269	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	36			glioma
HEC50B_ENDOMETRIUM	HEC-50B	ACH-000831	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		endometrium
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC-3	ACH-000778	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	64			upper_aerodigestive
HSC4_UPPER_AERODIGESTIVE_TRACT	HSC-4	ACH-000546	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	64			upper_aerodigestive
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-11	ACH-000714	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	female	67	asian	multiple_myeloma	multiple_myeloma
KP4_PANCREAS	KP4	ACH-000265	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	50	asian		pancreas
KE39_STOMACH	KE-39	ACH-000507	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male	77	asian		stomach
COV504_OVARY	COV504	ACH-001048	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female				ovary
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-97	ACH-000167	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	52	asian		multiple_myeloma
VMRCRCW_KIDNEY	VMRC-RCW	ACH-000484	kidney	NS	NS	NS	carcinoma	NS	NS	NS	male				kidney
HGC27_STOMACH	HGC-27	ACH-000847	stomach	NS	NS	NS	carcinoma	undifferentiated_adenocarcinoma	NS	NS			asian		stomach
LUDLU1_LUNG	LUDLU-1	ACH-000390	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	72	caucasian		lung_NSC
HUG1N_STOMACH	HuG1-N	ACH-000239	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male	55	asian		stomach
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1	ACH-000626	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	53		myeloma	multiple_myeloma
NUGC4_STOMACH	NUGC-4	ACH-000674	stomach	NS	NS	NS	carcinoma	signet_ring_adenocarcinoma	NS	NS	female	35	asian		stomach
BGC823_STOMACH	BGC-823	ACH-001017	stomach	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	62	asian		stomach
HMC18_BREAST	HMC-1-8	ACH-000721	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	35	asian		breast
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1	ACH-000464	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	63			glioma
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM-1	ACH-000889	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	62	asian	multiple_myeloma	multiple_myeloma
CORL23_LUNG	COR-L23	ACH-000662	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male	62	caucasian		lung_NSC
MORCPR_LUNG	MOR/CPR	ACH-000851	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS				Lung Cancer	lung_NSC
HARA_LUNG	HARA	ACH-000843	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	57	asian	Lung Cancer	lung_NSC
SKOV3_OVARY	SK-OV-3	ACH-000811	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	64	caucasian	ovarian_cancer	ovary
HPAFII_PANCREAS	HPAF-II	ACH-000094	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	44	caucasian		pancreas
